27	34	65	22	48
13	48	96	46	37
54	75	12	87	55
69	75	66	97	63
40	48	81	17	26
14	55	64	67	63
75	22	48	40	7
34	31	39	29	36
39	24	15	98	25
5	15	38	15	96
13	79	14	13	50
25	87	47	7	32
12	65	17	35	99
4	69	99	32	55
55	97	59	68	76
85	34	87	29	87
46	32	33	45	24
26	83	63	82	78
37	95	22	77	68
16	36	88	79	25
58	28	33	47	83
36	19	72	30	1
88	72	90	2	65
58	31	70	64	2
1	78	98	54	4
80	62	90	51	76
70	37	94	10	73
11	32	71	78	29
75	93	16	37	96
87	3	77	92	17
15	12	52	12	18
77	86	81	32	94
74	72	30	68	94
20	16	74	82	98
42	59	88	13	20
74	83	31	14	82
16	56	14	72	61
85	6	15	91	19
12	57	87	70	3
6	14	63	46	14
81	55	84	57	37
76	4	54	80	13
90	76	78	7	91
9	28	95	86	84
17	62	42	93	45
91	40	85	40	85
51	93	24	52	63
48	40	10	89	85
81	78	77	41	1
34	52	65	24	70
49	88	95	99	100
80	35	40	45	100
15	3	3	54	10
82	14	53	81	4
5	53	72	68	92
57	95	52	35	92
9	82	89	53	86
83	72	7	89	64
93	37	32	78	12
9	48	28	62	49
77	33	16	16	57
89	95	33	21	96
1	16	17	20	80
38	34	30	93	71
52	59	81	51	33
58	58	48	34	62
4	35	89	21	75
81	53	16	19	15
75	12	65	29	59
66	10	22	39	77
44	50	4	63	88
17	15	39	32	87
44	53	22	69	40
84	10	38	37	17
54	10	63	50	93
96	31	3	19	92
5	78	39	60	98
6	92	84	14	48
24	6	77	44	33
89	88	39	8	41
1	29	33	16	39
11	69	55	46	82
86	71	58	88	18
81	41	70	43	63
75	84	2	81	22
47	19	48	23	69
97	20	94	73	70
73	59	10	37	45
66	51	51	63	43
63	74	45	71	32
25	4	46	62	94
68	41	76	45	45
65	57	67	76	64
27	100	3	20	23
36	12	73	47	18
100	12	89	22	97
32	36	50	50	10
4	94	39	75	38
51	6	53	17	9
82	98	74	70	41
53	7	81	4	74
72	36	68	13	17
91	66	12	12	92
52	47	88	81	75
5	34	87	62	63
47	24	31	6	50
82	94	80	41	1
2	37	39	66	18
55	73	79	60	3
34	41	100	94	37
66	7	7	56	67
72	57	51	99	62
50	38	4	11	21
27	52	74	30	68
2	65	5	20	48
92	42	13	7	67
66	85	33	81	77
60	84	67	96	97
73	6	71	99	10
78	32	25	89	19
40	79	7	38	6
77	72	20	47	93
54	59	75	88	85
54	50	74	22	96
37	52	9	3	29
83	34	4	24	82
40	94	21	91	80
16	79	87	87	57
7	5	34	28	69
36	24	18	37	80
16	57	90	59	20
15	68	8	64	34
24	61	10	87	30
34	41	61	71	20
49	12	17	31	27
19	75	30	61	13
49	96	44	72	76
41	93	19	20	100
37	90	21	67	2
73	86	23	25	76
94	94	21	42	86
91	58	14	4	51
58	84	50	35	69
12	23	93	57	57
8	22	55	4	12
95	28	37	17	61
4	10	26	46	19
54	53	72	21	42
37	91	79	23	25
64	15	24	34	11
59	41	32	51	91
87	53	16	49	91
84	61	99	23	27
91	3	66	16	20
100	54	97	71	62
33	62	66	20	87
18	67	89	4	62
98	4	74	48	79
85	92	88	60	89
100	80	38	45	16
24	41	51	19	4
99	6	38	74	42
84	86	57	10	89
26	41	32	70	68
16	21	20	69	71
75	72	67	42	56
40	25	21	55	23
75	36	47	24	39
40	2	35	47	33
73	85	88	24	91
42	11	6	17	37
88	33	53	35	73
77	66	52	15	59
69	56	28	71	66
86	70	98	30	54
94	17	77	87	6
73	9	95	55	74
79	35	57	81	37
37	69	72	79	27
12	56	36	83	94
30	23	30	35	8
11	34	97	96	52
90	56	35	34	85
8	55	26	7	43
51	85	99	10	73
53	92	58	57	89
56	62	23	92	28
27	4	14	88	53
27	9	65	22	83
98	77	26	58	27
55	100	31	94	46
67	4	63	42	68
27	47	56	38	93
21	17	39	31	52
60	79	26	19	30
69	13	20	76	86
78	2	55	55	29
59	63	51	23	76
7	76	11	43	43
34	18	83	40	59
