0.5881674045	0.2646586469	0.7722685657	0.6604116497	0.3201486753	0.9829072995	0.5413364627	0.8406515812	0.4885484522	0.4977609817	0.6797988381	0.3225542045	0.1007279024	0.5671867768	0.0422757796	0.1333358652	0.0084678054	0.1239026790	0.1920786888	0.8809366674
0.7602028117	0.1951156361	0.9688774159	0.0218837628	0.2005198592	0.2961709895	0.8796622449	0.5529919911	0.8565672531	0.0345835582	0.3185278758	0.2297765587	0.6673732565	0.2673815697	0.3634728104	0.5416762016	0.3215865702	0.7201540636	0.6401894734	0.2794471028
0.4977206259	0.6049254236	0.7033041955	0.6193600802	0.6174434737	0.5518617523	0.3946744204	0.6012016897	0.9664779415	0.6530965082	0.7837767133	0.4100237900	0.4220337935	0.3912236033	0.1113678978	0.2323917116	0.1365106804	0.6695996863	0.2028415446	0.4387310554
0.4716637885	0.8067062314	0.3680862206	0.2130958215	0.0801141293	0.4382283511	0.5018773439	0.9025839216	0.5749812192	0.7631663491	0.2805652767	0.6759437312	0.3481689649	0.8754963446	0.4900425763	0.9936327821	0.1080001043	0.5579435757	0.7564930446	0.4776116639
0.6586140848	0.3320721045	0.1881651791	0.0754273775	0.9911687220	0.0963986610	0.7596706978	0.6519946835	0.9169154040	0.3595277271	0.8951919934	0.9489081374	0.6643164015	0.6322013420	0.0672862728	0.1076990277	0.9329620044	0.9706325692	0.6986312695	0.5748785558
0.5847507716	0.1088454400	0.7845318123	0.7811830739	0.4432493980	0.8021675945	0.7456239530	0.4517572300	0.4423863583	0.0298962496	0.5739462754	0.9894639265	0.2371344580	0.6613225514	0.8096874425	0.4226031066	0.8164666650	0.7376105411	0.5715405424	0.4989070507
0.7310107655	0.4767610718	0.0228531322	0.7035904263	0.4218535999	0.9199372425	0.0047970036	0.2585664510	0.2146516035	0.8882681232	0.8231227837	0.8993330202	0.5560661573	0.4256985336	0.7171997200	0.8376118316	0.7920335778	0.5492127791	0.3131581992	0.0944006008
0.4384561044	0.9568779148	0.2033976371	0.9573147908	0.1660790537	0.8560040763	0.5041696511	0.4212635976	0.7453184148	0.8583862879	0.5743332882	0.2000407283	0.0686301222	0.9462963547	0.9706434463	0.5523772239	0.9726143595	0.8993731156	0.0373216021	0.5420750570
0.3607645653	0.9986328250	0.9421732828	0.7904219933	0.7947190306	0.7816999207	0.1513980654	0.2070004337	0.5332530979	0.2678133026	0.5914671716	0.2921245831	0.5395708145	0.7429605530	0.1208703634	0.8389294217	0.5062351248	0.6493265181	0.6992636981	0.4166265467
0.6640403343	0.7314648431	0.8402950213	0.0290289549	0.0566963092	0.0523080122	0.7287835099	0.0146021080	0.7393506656	0.0458278634	0.2768644065	0.0503323398	0.8521880040	0.9236568263	0.8669167689	0.8903146175	0.7474748178	0.8955333299	0.6505852296	0.9097906997
